Deal ID,Contract number,Contract date,Contract expiration date,Duration of the agreement (in years),Comment on contract
8304,,2017-10-15,2042-10-14,25,
8305,,2019-09-03,2044-09-02,25,
8311,,2013-11-01,2028-10-31,15,
8313,,2013-11-01,2028-10-31,15,
8314,,2012-06-29,2027-06-28,15,
8315,,2017-09-07,2042-09-06,25,
8316,,2013-11-01,2028-10-31,12,
8317,,2013-11-01,2028-10-31,15,
8331,,2015-10-01,2040-09-30,25,
8332,,2017-09-07,2042-09-06,25,
8334,,2014-04-03,2039-04-02,25,
8335,,2012-09-22,2027-09-21,15,
8336,,2014-06-23,2039-06-22,25,
8337,,2017-09-10,2042-09-09,25,
8338,,2017-09-07,2042-09-06,25,
8339,,2010-08-16,2025-08-15,15,
8340,,2013-11-02,2028-11-01,15,
8341,,2017-09-10,2042-09-09,25,
8342,,2014-05-12,2039-05-11,25,
8343,,2017-06-02,2040-06-01,23,
8394,,2013,2033,20,
8402,,2013-11-01,2028-11-01,15,
8404,,2018-06-01,2039-06-01,21,for 21 years
8405,,2013-04-10,2028-04-09,15,
8406,,2014-05-27,2039-05-26,25,
8407,,2015-03-10,2039-03-09,24,
8408,,2010-08-04,2025-08-03,15,
8409,,2016-06-10,2041-06-09,25,
8410,,2014,2029,15,
8411,,2014,2029,15,
8415,,2014,2029,15,
8416,,2014,2029,15,
8417,,2015-02-16,2040-02-15,25,
8418,,2014,2029,15,
8419,,2015-02-16,2040-02-15,25,
8434,,2005-04-18,2025-04-17,20,
8435,,2015-01-13,2040-01-12,25,
8436,,2018-01-16,2048-01-15,30,
8437,,2013,,,
8438,,2017-02-28,2042-02-27,25,
8439,,2005-08-09,2025-08-08,20,
8440,,2011-05-17,2026-05-16,15,
8441,,2011-04-29,2026-04-28,15,
8442,,2010-12-22,2025-12-21,15,
8443,,2017-03-23,2042-03-22,25,
8445,,2012-05-08,2027-05-07,15,
8446,,2018-04-24,2038-04-23,30,
8448,,2015-03-16,2039-03-15,24,
8449,,2013-01-22,2028-01-21,15,
8457,043/11,2011-10-24,2036-10-23,25,Previously held by SOFORMA
8459,,2015,2065,50,
8461,,2014-07-17,2039-07-16,25,
8463,,2007-02-27,2022-02-26,15,
8464,,2010-09-07,2025-09-06,15,
8465,,2016-02-22,2041-02-21,25,
8471,005/20,2020-01-14,2045-02-05,25,Previously Siforco 032/11
8472,006/20,2020-01-14,2045-02-05,25,Previously Siforco 031/11
8473,009/20,2020-01-14,2045-02-05,25,
8475,047/11,2011-10-24,2036-10-23,25,Signed by Jose Pinto da Silva
8476,046/11,2011-10-24,2036-10-23,25,Concession 046/11
8477,005/18,2011-08-04,2036-08-03,25,"Previously contract 003/11 by La Forestiere.
The contract is signed by Mr Abdul Karim Ammacha, and not by Jose Pinto de Silva who signed earlier concessions for CFT."
8478,038/11,2011-10-24,2036-10-23,25,
8479,035/11,2011-10-24,2036-10-23,25,Concession 035/11
8506,,,,10,
8606,,,,,The authorization to operate a small mine is granted for a period of 3 years from the date of signature of this decree. It is renewed in the same forms and for the same duration until the exploited deposit is exhausted.
8607,,2016-02-02,,5,the operating permit is granted for a period of 05 years renewable from the date of signature of this decree.
8619,,,,25,
8625,,2007,2027-11-02,10,"Conflicting information. Decree states 10 years renewable, ITIE report states valid until 2027"
8659,,2011-02-21,,15,
8660,,2010-12-29,,15,
8661,,2010-12-29,,15,
8662,,2014-03-25,,25,
8663,,2019-10-10,,30,
8664,,2020-02-25,,30,
8665,,2018-09-03,,30,
8678,,2005,,25,The land was originally acquired on the basis of a renewable 25-year lease
8679,,2005,,25,Original lease to Shonga Farms (deal 1683). Renewable.
8683,,2016-01-09,2031-01-08,15,Mimbeli Ibenga concession was awarded four days before the bid deadline.
8685,,2002-11-13,2037-06-08,25,Original contract from 2002 valid for 15 years. Amended contract from 2012 valid for 25 years
8686,,2002-11-13,2012,25,"Original contract from 2002 was for 15 years. The amended contract from 2012 is for 25 years, renewable."
8697,10-030,2001,2031-05-02,15,"Contract renewed on 3 May 2016 with validity of 15 years
Concession number 1054"
8698,10-047b,2013-01-02,,,"In 2006, FMU 10-047 was split into FMU 10-047a and 10-047b. FIPCAM retained FMU 10-047a while CCIF was assigned FMU 10-047b which it dropped shortly after. We do not have any official documents in this regard, but it appears that neither FIPCAM nor CCIF operated UFA 10-047b during the periods in which UFA was assigned to them."
8723,,,,50,"5 concessions under 50-year and 83-year renewable leases- can not determine which sizes are allocated to each seperate concession, thus one large land deal added. It could be broken into the different sizes under intention of investment, but I can not be sure that this is the case."
8726,,,,25,"Apparently signed in 2013. 25 years, renewable."
8734,,2017-01-23,2022-01-23,5,It may be renewed for consecutive five-year periods until deposits are depleted.
8747,,2014-08,2034-08,20,The Wahgnion ML is valid for 20 years with an ability to renew for consecutive periods of five years until the reserves are depleted.
8753,0126/MMG/DGMG,2018-04-09,2032-04-10,16,"The Ity mineral rights comprise of two mining licenses – exploitation permit PE26 (“SMI License”) and exploitation permit PE49 (“SMD License”). 
The license was initially issued in April 2018 to La Mancha Côte d’Ivoire S.à r.l. (‘’LMCI’’), a wholly owned exploration subsidiary of Endeavour, and then transferred to SMD on September 10, 2018. The SMD License is valid for 14 years and thus, expires on April 10, 2032. It is then renewable for successive 10-year periods.
The SMI License expires on November 14, 2023 following its fourth renewal but is renewable again for consecutive 10-year periods (operational since 1991, not captured in the Land Matrix."
8839,,2018,2058,40,
8844,PEA n°191,2018-09-26,2047-12-31,30,"It is unclear when the contract expires. The open timber portal makes not of 2045, the contract states ""This agreement covers the duration of the rotation as defined in the revised management plan, ie 30 years from January 1 of the year of its signature."""
8877,,2016,2115,99,"The land was leased to Hoima Sugar In 2016 for 99 years by Solomon Iguru Gafabusa, king of the ancient kingdom of Bunyoro-Kitara. He said the leased area was ancestral land and not part of the protected forest."
8906,052/14,2014-04-25,,,
8925,006/18,2018-06-04,2036-08-03,18,The contract number  was  changed  on the  04th June 2018 to Ets. Kitenge Lola. Previous number 001/11 according to the government gazette.
8926,007/18,2018-06-11,2043-06-10,25,"The contract is valid for 25 years, with option to renew.
Previous contract number 002/11. The contract number was changed on the 11th June 2018 to Ets. Kitenge Lola."
8943,10-001,2010-09-14,2025-09-13,15,Renewable
8943,10-002,2010-09-14,2025-09-13,15,Renewable
8943,10-003,2010-09-14,2025-09-13,15,Renewable
8943,10-004,2010-09-14,2025-09-13,15,Renewable
8944,10-011,1998-03-27,,,
8945,10-007,1998,,,
8948,10-058,2013-02-05,,,Previously held by SEBC (Vicwood subsidiary)
8969,2010/2580,2010-09-20,,,
8970,2010/2606,2010-09-24,,,
8971,147,1998-03-27,,,
8985,149,1998-03-27,,,
8987,08 004,1998-03-27,,,
8996,592,2006-11-22,2024,15,Provisional operating agreement No. 0592/C PE/MINFOF/SG/DF of 22 November 2006 was signed between CAFECO and the Cameroonian government represented by the Ministry of Forests and Wildlife for a period of three years which will be followed by a final agreement of 15 years renewable once.
9014,181,2012-12-07,,,
9017,2,2013-01-03,,,
9028,2010/3309,2010-11-29,,,
9033,177,2012-12-06,,,
9044,1018,2010-07-23,,,"FMU number: 10.021, Concession number: 1018. Decree number:  2005/0254 / PM"
9079,57,2013-02-15,,,
9090,612,2006-12-05,,,
9106,1073,2005-12-14,,,Concession forestière 1073 ( UFA 09-008 and 09-007)
9107,302,2013-08-26,,3,It is not clear whether the contract was renewed.
9108,144,2006-03-24,,,UFA 09 011
9109,151,1998-03-27,,,
9110,160,2014-09-30,,,
9112,1033,2012-02-13,,,
9113,1029,2004,,,"UFA 00 004, forest concession n ° 1029"
9115,2000/73,2000-09-18,,,
9118,1066,2002,,,
9124,11-002,2012-12-06,,,UFA 11-002. concession number 1068
9126,1078,2012-08-01,,,Forest concession 1078 made up of the forest management unit 09 022
9130,10-036,2013-02-04,,,FMU number 10-036  and attributed in 2013-02-04. concession number 1103
9137,09-021,2005-02-14,,,"Concession number 1006, FMU 09-021"
9173,09-017 and 09-018,2010-10-05,,,"Incorporated into the private domain of the State by decrees n ° 7006/2950 / PM and 2006/2951 / PM of December 27, 2006 as Forest Development Units called UFA 09-017 and UFA 09-018"
9190,10-065,2012-03,,3,UFA 10-065-It should also be noted that this FMU is located near the Deng Deng forest reserve and belongs to the Technical Operational Unit (UTO) by Deng Deng being created. Concession number 1090. 3 years renewable.
9230,1075,2007-09-12,,,"Concession no 1075, Made up of forest management units 00 001 and 00 002"
9231,1069,2007-03,,,UFA 09-020. Concession Number 1069
9232,09-023,2004-04,,,Concession number 1005. UFA 09-023
9234,2014/4158,2014-12-04,,,UFA 09-012. Concession number 2014/4158
9238,10-051,2010-09-20,,,forest concession made up of the UFA 10-051. Concession number: 2323
9239,1075,2007-12-07,,,UFAs: 00.001 and  00.002. Concession number 1075
